panel,family,n,arm,ratio,lo,hi,seeds
density,er_d4,5000,fourary,0.997621115316125,0.9563248024300122,1.0570137330643703,3
density,er_d4,5000,max_maxdegree,1.4236494375189483,1.3885778455867979,1.4832166877134696,3
density,er_d4,5000,mean_degree,1.516166703190849,1.4838607632738132,1.5643094768583772,3
density,er_d4,5000,mean_map,1.6898439021651037,1.6593333856324455,1.705569781370067,3
density,er_d4,5000,mean_ring,1.8916907594124068,1.8269043452890081,1.965359697840946,3
density,er_d4,5000,selected_grid,1.9033478334800664,1.8790461249832995,1.94210196500725,3
density,er_d64,1000,binary,1.0739294092320388,1.0499364144257033,1.1047393950354703,3
density,er_d64,1000,caliber,1.1099838952895988,1.0550561233646032,1.1443055488499443,3
density,er_d64,1000,degree4,1.0574255728637663,1.0276069380331039,1.0735458250335106,3
density,er_d64,1000,fourary,1.0909958423410322,1.0730151377016481,1.1148136223884766,3
density,er_d64,1000,max_maxdegree,1.0217030206071405,0.993508361598718,1.0463072835381306,3
density,er_d64,1000,mean_degree,0.9589777836044558,0.9284545282749511,0.9804469033550272,3
density,er_d64,1000,mean_map,0.9831462867792826,0.9558666545331235,0.9985839998910604,3
density,er_d64,1000,mean_ring,0.9966735983687861,0.9918650148346493,1.0006855996622557,3
density,er_d64,1000,selected_grid,1.2620222891177395,1.2240460240851303,1.3107658618524847,3
density,er_d64,5000,binary,1.0986530639384418,1.0306678592225793,1.1999986739747404,3
density,er_d64,5000,caliber,1.1391487674577572,1.0768567766109685,1.2438892915826834,3
density,er_d64,5000,degree4,1.0765206845247237,1.040372894352147,1.1298123735539882,3
density,er_d64,5000,fourary,1.0932296446572363,1.0380097377719764,1.1873081747371013,3
density,er_d64,5000,max_maxdegree,1.2226189876349651,1.182170704332584,1.2526936867731693,3
density,er_d64,5000,mean_degree,1.2096151438098195,1.1915468708992585,1.224397079946202,3
density,er_d64,5000,mean_map,1.0076121215009366,0.8991482729183774,1.1160660260615227,3
density,er_d64,5000,mean_ring,1.0141137307290244,0.9753231903358972,1.0581860181974305,3
density,er_d64,5000,selected_grid,1.4013455900826584,1.3424949995921986,1.4675923982883323,3
density,er_d8,1000,binary,0.9756723834178133,0.9707073233296625,0.9812762853292948,3
density,er_d8,1000,caliber,1.0710702168114943,1.0648713078088141,1.0807459556311632,3
density,er_d8,1000,degree4,0.9598958945115535,0.9478050111887351,0.976776319454702,3
density,er_d8,1000,fourary,0.9744226831003884,0.9678945775682583,0.9862633082662101,3
density,er_d8,1000,max_maxdegree,1.1791056133751197,1.1648907287666839,1.1939411695522752,3
density,er_d8,1000,mean_degree,1.2029217869825057,1.197656416186585,1.2101956022443328,3
density,er_d8,1000,mean_map,1.5262097653928666,1.4906280846507922,1.568028425932844,3
density,er_d8,1000,mean_ring,1.6553281631325965,1.6118319473309874,1.6991716564479973,3
density,er_d8,1000,selected_grid,1.5746309745398022,1.472540038350521,1.6673495807224463,3
density,er_d8,5000,binary,0.980619537188432,0.9293065373004211,1.0260899796952683,3
density,er_d8,5000,caliber,1.1261788938850623,1.0853371956815034,1.162494638511738,3
density,er_d8,5000,degree4,0.9772903562693946,0.9576935507807333,1.0055362021622756,3
density,er_d8,5000,fourary,0.9710568254535262,0.9536894006176074,0.9959365046137618,3
density,er_d8,5000,max_maxdegree,1.5615696743765997,1.53944007591148,1.6025707257874116,3
density,er_d8,5000,mean_degree,1.6020703477953493,1.5513185196216077,1.6363536505685925,3
density,er_d8,5000,mean_map,1.7146365078765209,1.4976475709543824,1.8639074345481,3
density,er_d8,5000,mean_ring,1.9350082662391261,1.8955009005285053,2.0054915398645305,3
density,er_d8,5000,selected_grid,1.8626405946999844,1.715081820788265,2.0448590924510825,3
laws,clustered_bimodal,2000,binary,0.9727667628343637,0.962444257116382,0.9885261826071061,3
laws,clustered_bimodal,2000,caliber,0.9694373862634224,0.9567648720404338,0.9837200221058954,3
laws,clustered_bimodal,2000,degree4,0.9535486406979563,0.931818803863231,0.977126734035222,3
laws,clustered_bimodal,2000,fourary,0.8554434940127507,0.8453484169900678,0.8751851066110842,3
laws,clustered_bimodal,2000,max_maxdegree,0.9909806267211282,0.9586423794336815,1.0122168259031024,3
laws,clustered_bimodal,2000,mean_degree,1.0471482645904033,1.0274531434582925,1.0604874058323273,3
laws,clustered_bimodal,2000,mean_map,1.0009998580850603,0.9643018103010143,1.0417353985442799,3
laws,clustered_bimodal,2000,mean_ring,1.0275515183291324,1.0056510372077083,1.0705997808548127,3
laws,clustered_bimodal,2000,radix,1.285923377584508,1.265772710149069,1.314937240667378,3
laws,clustered_bimodal,2000,selected_grid,1.0458165326047142,0.9999531037627427,1.096514347603137,3
laws,clustered_integer,2000,binary,0.9910129241838699,0.9755774232877257,1.003698404788363,3
laws,clustered_integer,2000,caliber,1.0675018309909277,1.0565873308807563,1.0813046434262958,3
laws,clustered_integer,2000,degree4,0.9579886858533118,0.9418273473893577,0.971851412390527,3
laws,clustered_integer,2000,fourary,0.8018762112696276,0.7727920638863772,0.819422681042365,3
laws,clustered_integer,2000,max_maxdegree,1.390205242647749,1.3329097103963978,1.4346788955770813,3
laws,clustered_integer,2000,mean_degree,1.348362869645686,1.3254868376506463,1.363000702374112,3
laws,clustered_integer,2000,mean_map,1.6544577407467684,1.6312460394492754,1.6819801654869737,3
laws,clustered_integer,2000,mean_ring,1.7210539671701355,1.6948359364404193,1.766735637194699,3
laws,clustered_integer,2000,radix,1.893930894038424,1.8235910247006633,1.9771509570810673,3
laws,clustered_integer,2000,selected_grid,1.7782684007443488,1.7296562234053816,1.829886240775481,3
laws,clustered_near,2000,binary,1.0626581463978544,1.0566293716110384,1.0659678926564142,3
laws,clustered_near,2000,caliber,0.9666484482541503,0.9495969807872165,0.9764531694055116,3
laws,clustered_near,2000,degree4,1.0477352756254985,1.0428827440509822,1.0535090393439799,3
laws,clustered_near,2000,fourary,1.0510841921883696,1.0337359361932128,1.0740151945955723,3
laws,clustered_near,2000,max_maxdegree,1.1898044163860895,1.1702163160941133,1.20203461735303,3
laws,clustered_near,2000,mean_degree,1.1833310235381367,1.1644846277893812,1.1989763105699658,3
laws,clustered_near,2000,mean_map,1.0456998042281274,1.0108759524609097,1.06822530052976,3
laws,clustered_near,2000,mean_ring,1.054751213560509,1.0416907815868817,1.0722921896967148,3
laws,clustered_near,2000,selected_grid,1.1756009387761568,1.1422179940206247,1.2120780939905718,3
laws,clustered_scale,2000,binary,1.0937845527864827,1.0483766607267142,1.1178768082998316,3
laws,clustered_scale,2000,caliber,1.1071790980131544,1.0596362860415725,1.1398910645504967,3
laws,clustered_scale,2000,degree4,1.0612922016854809,1.0198380138176741,1.091809070052842,3
laws,clustered_scale,2000,fourary,1.0363430611094249,0.9977499063886358,1.0698470790031132,3
laws,clustered_scale,2000,max_maxdegree,1.4132930801103225,1.3853505284609486,1.428066940837251,3
laws,clustered_scale,2000,mean_degree,1.0503315902874855,1.0217773774884094,1.0892038629194534,3
laws,clustered_scale,2000,mean_map,1.556147015737706,1.5215701405834499,1.5796602561472242,3
laws,clustered_scale,2000,mean_ring,1.6403653207211726,1.589560578139191,1.6860308567530697,3
laws,clustered_scale,2000,selected_grid,1.639322010475257,1.6037971534953754,1.676490579744681,3
laws,clustered_shuffle,2000,binary,1.0556939204369138,1.0475469089890816,1.0677984477767128,3
laws,clustered_shuffle,2000,caliber,1.0838696258368143,1.0681760805181202,1.1100824743669369,3
laws,clustered_shuffle,2000,degree4,1.0026588618896177,0.9947813939297033,1.0185438882302182,3
laws,clustered_shuffle,2000,fourary,1.0325153765609976,1.0218773249188229,1.050747612536755,3
laws,clustered_shuffle,2000,max_maxdegree,1.4011572305978621,1.3708677926027864,1.4171465792262483,3
laws,clustered_shuffle,2000,mean_degree,1.1716910409576888,1.1685755809664533,1.1769264163818394,3
laws,clustered_shuffle,2000,mean_map,1.4424391135138925,1.4070224151675357,1.4750173669231676,3
laws,clustered_shuffle,2000,mean_ring,1.4788206853607777,1.4613089746457402,1.5022590926548147,3
laws,clustered_shuffle,2000,selected_grid,1.4904726731749165,1.4704837243870814,1.5095804977302631,3
laws,clustered_skew,2000,binary,1.0498333654226208,1.0432975927911037,1.058309420558179,3
laws,clustered_skew,2000,caliber,0.9733345693273938,0.9659582125092696,0.9773330938268946,3
laws,clustered_skew,2000,degree4,1.0135285297774597,1.0045120121414486,1.018836114710161,3
laws,clustered_skew,2000,fourary,1.046644701792358,1.0280258553487178,1.0566670492985524,3
laws,clustered_skew,2000,max_maxdegree,1.268543020393159,1.2557141797973677,1.294248543189355,3
laws,clustered_skew,2000,mean_degree,1.0500318202387748,1.0277479128854572,1.0739384583743294,3
laws,clustered_skew,2000,mean_map,1.255066066912333,1.2301114946079954,1.2694854161217908,3
laws,clustered_skew,2000,mean_ring,1.2787647817017052,1.2705999979365756,1.2881720405648829,3
laws,clustered_skew,2000,selected_grid,1.3104402605638348,1.2891336196710694,1.3234488577072798,3
