family,seed,source,layout,arm,round,position,ns,prep_ns,ingest_ns
clustered,42,333,identity,fourary,10,5,302500,0,63954400
clustered,42,333,bfs,fourary,10,6,302300,2833100,63954400
clustered,42,333,rcm,mean_ring,10,7,234900,2968400,63954400
clustered,42,333,rcm,mean_ring,11,0,227300,2968400,63954400
clustered,42,333,bfs,fourary,11,1,309500,2833100,63954400
clustered,42,333,identity,fourary,11,2,322200,0,63954400
clustered,42,333,potential,fourary,11,3,310100,154915200,63954400
clustered,42,333,identity,mean_ring,11,4,264300,0,63954400
clustered,42,333,rcm,fourary,11,5,306500,2968400,63954400
clustered,42,333,potential,mean_ring,11,6,247800,154915200,63954400
clustered,42,333,bfs,mean_ring,11,7,242000,2833100,63954400
clustered,42,666,identity,mean_ring,0,0,264700,0,63954400
clustered,42,666,rcm,mean_ring,0,1,250600,2968400,63954400
clustered,42,666,identity,fourary,0,2,303000,0,63954400
clustered,42,666,bfs,mean_ring,0,3,242300,2833100,63954400
clustered,42,666,bfs,fourary,0,4,286600,2833100,63954400
clustered,42,666,rcm,fourary,0,5,370500,2968400,63954400
clustered,42,666,potential,fourary,0,6,298900,154915200,63954400
clustered,42,666,potential,mean_ring,0,7,262500,154915200,63954400
clustered,42,666,potential,mean_ring,1,0,239600,154915200,63954400
clustered,42,666,potential,fourary,1,1,298200,154915200,63954400
clustered,42,666,rcm,fourary,1,2,298400,2968400,63954400
clustered,42,666,bfs,fourary,1,3,309700,2833100,63954400
clustered,42,666,bfs,mean_ring,1,4,235200,2833100,63954400
clustered,42,666,identity,fourary,1,5,302100,0,63954400
clustered,42,666,rcm,mean_ring,1,6,239400,2968400,63954400
clustered,42,666,identity,mean_ring,1,7,236000,0,63954400
clustered,42,666,potential,mean_ring,2,0,242100,154915200,63954400
clustered,42,666,identity,fourary,2,1,308800,0,63954400
clustered,42,666,bfs,mean_ring,2,2,257500,2833100,63954400
clustered,42,666,potential,fourary,2,3,301600,154915200,63954400
clustered,42,666,bfs,fourary,2,4,294100,2833100,63954400
clustered,42,666,identity,mean_ring,2,5,239800,0,63954400
clustered,42,666,rcm,mean_ring,2,6,234000,2968400,63954400
clustered,42,666,rcm,fourary,2,7,297400,2968400,63954400
clustered,42,666,rcm,fourary,3,0,290600,2968400,63954400
clustered,42,666,rcm,mean_ring,3,1,256200,2968400,63954400
clustered,42,666,identity,mean_ring,3,2,253800,0,63954400
clustered,42,666,bfs,fourary,3,3,291000,2833100,63954400
clustered,42,666,potential,fourary,3,4,289800,154915200,63954400
clustered,42,666,bfs,mean_ring,3,5,304000,2833100,63954400
clustered,42,666,identity,fourary,3,6,322100,0,63954400
clustered,42,666,potential,mean_ring,3,7,271400,154915200,63954400
clustered,42,666,identity,fourary,4,0,498800,0,63954400
clustered,42,666,rcm,fourary,4,1,323200,2968400,63954400
clustered,42,666,bfs,mean_ring,4,2,266600,2833100,63954400
clustered,42,666,identity,mean_ring,4,3,651600,0,63954400
clustered,42,666,rcm,mean_ring,4,4,315700,2968400,63954400
clustered,42,666,potential,fourary,4,5,383800,154915200,63954400
clustered,42,666,potential,mean_ring,4,6,237000,154915200,63954400
clustered,42,666,bfs,fourary,4,7,317700,2833100,63954400
clustered,42,666,bfs,fourary,5,0,387300,2833100,63954400
clustered,42,666,potential,mean_ring,5,1,269200,154915200,63954400
clustered,42,666,potential,fourary,5,2,301200,154915200,63954400
clustered,42,666,rcm,mean_ring,5,3,259000,2968400,63954400
clustered,42,666,identity,mean_ring,5,4,252000,0,63954400
clustered,42,666,bfs,mean_ring,5,5,256600,2833100,63954400
clustered,42,666,rcm,fourary,5,6,321700,2968400,63954400
clustered,42,666,identity,fourary,5,7,308600,0,63954400
clustered,42,666,bfs,mean_ring,6,0,277800,2833100,63954400
clustered,42,666,potential,mean_ring,6,1,305200,154915200,63954400
clustered,42,666,rcm,mean_ring,6,2,300400,2968400,63954400
clustered,42,666,potential,fourary,6,3,703200,154915200,63954400
clustered,42,666,rcm,fourary,6,4,325100,2968400,63954400
clustered,42,666,identity,fourary,6,5,318700,0,63954400
clustered,42,666,identity,mean_ring,6,6,285700,0,63954400
clustered,42,666,bfs,fourary,6,7,318700,2833100,63954400
clustered,42,666,bfs,fourary,7,0,286100,2833100,63954400
clustered,42,666,identity,mean_ring,7,1,335800,0,63954400
clustered,42,666,identity,fourary,7,2,310800,0,63954400
clustered,42,666,rcm,fourary,7,3,306100,2968400,63954400
clustered,42,666,potential,fourary,7,4,307700,154915200,63954400
clustered,42,666,rcm,mean_ring,7,5,278400,2968400,63954400
clustered,42,666,potential,mean_ring,7,6,253100,154915200,63954400
clustered,42,666,bfs,mean_ring,7,7,237600,2833100,63954400
clustered,42,666,potential,fourary,8,0,442100,154915200,63954400
clustered,42,666,rcm,mean_ring,8,1,293200,2968400,63954400
clustered,42,666,identity,fourary,8,2,356700,0,63954400
clustered,42,666,bfs,fourary,8,3,324100,2833100,63954400
clustered,42,666,potential,mean_ring,8,4,267000,154915200,63954400
clustered,42,666,rcm,fourary,8,5,297800,2968400,63954400
clustered,42,666,identity,mean_ring,8,6,252400,0,63954400
clustered,42,666,bfs,mean_ring,8,7,289900,2833100,63954400
clustered,42,666,bfs,mean_ring,9,0,231700,2833100,63954400
clustered,42,666,identity,mean_ring,9,1,229400,0,63954400
clustered,42,666,rcm,fourary,9,2,326600,2968400,63954400
clustered,42,666,potential,mean_ring,9,3,241800,154915200,63954400
clustered,42,666,bfs,fourary,9,4,291100,2833100,63954400
clustered,42,666,identity,fourary,9,5,287800,0,63954400
clustered,42,666,rcm,mean_ring,9,6,265600,2968400,63954400
clustered,42,666,potential,fourary,9,7,301700,154915200,63954400
clustered,42,666,identity,fourary,10,0,294500,0,63954400
clustered,42,666,bfs,fourary,10,1,316000,2833100,63954400
clustered,42,666,rcm,mean_ring,10,2,234800,2968400,63954400
clustered,42,666,bfs,mean_ring,10,3,233900,2833100,63954400
clustered,42,666,potential,mean_ring,10,4,248800,154915200,63954400
clustered,42,666,potential,fourary,10,5,321600,154915200,63954400
clustered,42,666,identity,mean_ring,10,6,223500,0,63954400
clustered,42,666,rcm,fourary,10,7,301600,2968400,63954400
clustered,42,666,rcm,fourary,11,0,352200,2968400,63954400
clustered,42,666,identity,mean_ring,11,1,448400,0,63954400
clustered,42,666,potential,fourary,11,2,335100,154915200,63954400
clustered,42,666,potential,mean_ring,11,3,260800,154915200,63954400
clustered,42,666,bfs,mean_ring,11,4,279400,2833100,63954400
clustered,42,666,rcm,mean_ring,11,5,251600,2968400,63954400
clustered,42,666,bfs,fourary,11,6,314500,2833100,63954400
clustered,42,666,identity,fourary,11,7,309700,0,63954400
grid,42,333,rcm,fourary,0,0,105100,341700,11206100
grid,42,333,identity,mean_ring,0,1,100300,0,11206100
grid,42,333,bfs,fourary,0,2,115800,394700,11206100
grid,42,333,rcm,mean_ring,0,3,96100,341700,11206100
grid,42,333,identity,fourary,0,4,101500,0,11206100
grid,42,333,bfs,mean_ring,0,5,93000,394700,11206100
grid,42,333,bfs,mean_ring,1,0,87700,394700,11206100
