case,training_source,multiplier,median_ns,total_calibration_ns,selected
37,0,0.1,465350,44938400,false
37,0,0.25,381250,44938400,false
37,0,0.5,438300,44938400,false
37,0,0.75,361550,44938400,true
37,0,1,456850,44938400,false
37,0,1.5,673950,44938400,false
37,0,2,718150,44938400,false
37,0,4,843600,44938400,false
37,0,8,885350,44938400,false
37,0,16,877700,44938400,false
38,0,0.03125,422200,24300000,false
38,0,0.05,383750,24300000,false
38,0,0.1,373650,24300000,false
38,0,0.25,320500,24300000,false
38,0,0.5,303450,24300000,false
38,0,0.75,275050,24300000,false
38,0,1,270550,24300000,false
38,0,1.5,259900,24300000,false
38,0,2,240150,24300000,true
38,0,4,246250,24300000,false
38,0,8,315650,24300000,false
38,0,16,333650,24300000,false
39,0,0.03125,398350,21463900,false
39,0,0.05,376350,21463900,false
39,0,0.1,336750,21463900,false
39,0,0.25,305650,21463900,false
39,0,0.5,277650,21463900,false
39,0,0.75,263900,21463900,false
39,0,1,259150,21463900,false
39,0,1.5,260650,21463900,false
39,0,2,226800,21463900,false
39,0,4,217650,21463900,true
39,0,8,281150,21463900,false
39,0,16,275000,21463900,false
40,0,0.03125,434600,22027500,false
40,0,0.05,371000,22027500,false
40,0,0.1,337500,22027500,false
40,0,0.25,301150,22027500,false
40,0,0.5,276950,22027500,false
40,0,0.75,270950,22027500,false
40,0,1,253550,22027500,false
40,0,1.5,249700,22027500,false
40,0,2,242100,22027500,false
40,0,4,241750,22027500,true
40,0,8,294700,22027500,false
40,0,16,301950,22027500,false
41,0,0.03125,906150,49395900,false
41,0,0.05,927800,49395900,false
41,0,0.1,732000,49395900,false
41,0,0.25,686300,49395900,false
41,0,0.5,614100,49395900,false
41,0,0.75,618750,49395900,false
41,0,1,597100,49395900,false
41,0,1.5,568900,49395900,false
41,0,2,551550,49395900,true
41,0,4,564800,49395900,false
41,0,8,630350,49395900,false
41,0,16,569350,49395900,false
42,0,0.03125,439900,34028500,false
42,0,0.05,510650,34028500,false
42,0,0.1,437950,34028500,false
42,0,0.25,443750,34028500,false
42,0,0.5,466900,34028500,false
42,0,0.75,430350,34028500,false
42,0,1,479850,34028500,false
42,0,1.5,425400,34028500,true
42,0,2,429200,34028500,false
42,0,4,430400,34028500,false
42,0,8,451550,34028500,false
42,0,16,438750,34028500,false
43,0,0.03125,636400,41046300,false
43,0,0.05,585450,41046300,false
43,0,0.1,551500,41046300,false
43,0,0.25,535550,41046300,false
43,0,0.5,491700,41046300,true
43,0,0.75,519950,41046300,false
43,0,1,520750,41046300,false
43,0,1.5,544250,41046300,false
43,0,2,569450,41046300,false
43,0,4,563100,41046300,false
43,0,8,509650,41046300,false
43,0,16,517500,41046300,false
44,0,0.03125,390100,29686300,false
44,0,0.05,399950,29686300,false
44,0,0.1,411000,29686300,false
44,0,0.25,387400,29686300,false
44,0,0.5,382500,29686300,true
44,0,0.75,423550,29686300,false
44,0,1,405200,29686300,false
44,0,1.5,394950,29686300,false
44,0,2,394550,29686300,false
44,0,4,405200,29686300,false
44,0,8,389400,29686300,false
44,0,16,387750,29686300,false
45,0,0.03125,461350,39594700,false
45,0,0.05,435950,39594700,false
45,0,0.1,424800,39594700,true
45,0,0.25,456650,39594700,false
45,0,0.5,535850,39594700,false
45,0,0.75,527250,39594700,false
45,0,1,552350,39594700,false
45,0,1.5,555650,39594700,false
45,0,2,601550,39594700,false
45,0,4,556000,39594700,false
45,0,8,590250,39594700,false
45,0,16,576200,39594700,false
46,0,0.03125,795850,59345400,false
46,0,0.05,778100,59345400,false
46,0,0.1,701700,59345400,false
46,0,0.25,590550,59345400,true
46,0,0.5,599950,59345400,false
46,0,0.75,691350,59345400,false
46,0,1,676050,59345400,false
46,0,1.5,813600,59345400,false
