case,source,arm,pushes,pops,comparisons,peak,scans,scouts,scout_scans,scout_yield,improvements,superseded,phases,vertex_scans,unchanged,heavy,max_phase_scans,admitted,potential_work,budget
1,151054,caliber,203387,203387,3529376,968,733846,0,0,0,301856,37511,0,264346,0,0,0,0,0,0
1,151054,degree4,323229,323229,6127973,1634,733846,142562,400880,176243,323228,58883,0,264346,0,0,0,718068,2223396,18446744073709551615
1,151054,radix,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,151054,selected_grid,321375,321375,0,0,1513106,0,0,0,321374,8707,197,279076,33592,8438,3774,0,0,0
1,188818,std_binary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,188818,binary,299020,299020,5237308,997,733846,0,0,0,299019,34674,0,264346,0,0,0,0,0,0
1,188818,fourary,299020,299020,5702638,997,733846,0,0,0,299019,34674,0,264346,0,0,0,0,0,0
1,188818,mean_map,294191,294191,0,0,1471456,0,0,0,294190,8915,712,265535,19741,257234,977,0,0,0
1,188818,mean_ring,294191,294191,0,0,1471456,0,0,0,294190,8915,712,265535,19741,257234,977,0,0,0
1,188818,mean_degree,298530,298530,0,0,1468127,0,0,0,298529,20574,1964,264485,13471,643768,367,0,0,0
1,188818,max_maxdegree,318851,318851,0,0,1506796,0,0,0,318850,8732,200,276950,33169,11574,3540,0,0,0
1,188818,caliber,203653,203653,3554592,980,733846,0,0,0,301943,37598,0,264346,0,0,0,0,0,0
1,188818,degree4,323733,323733,6166325,1693,733846,142781,401559,176542,323732,59387,0,264346,0,0,0,718068,2223396,18446744073709551615
1,188818,radix,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,188818,selected_grid,321910,321910,0,0,1513016,0,0,0,321909,8717,179,279021,34172,8438,3953,0,0,0
1,226582,std_binary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,226582,binary,297836,297836,4956630,760,733846,0,0,0,297835,33490,0,264346,0,0,0,0,0,0
1,226582,fourary,297836,297836,5431385,760,733846,0,0,0,297835,33490,0,264346,0,0,0,0,0,0
