key,panel,family,n,seed,source,round,binary,degree4,ratio,margin_ms
core:16,core,roadlike,1000,42,666,10,134500.0,131100.0,1.0259344012204423,0.0034
core:16,core,roadlike,1000,42,666,11,132900.0,125400.0,1.0598086124401913,0.0075
core:17,core,roadlike,2000,42,666,0,293700.0,288200.0,1.0190839694656488,0.0055
core:17,core,roadlike,2000,42,666,1,279300.0,272700.0,1.0242024202420241,0.0066
core:17,core,roadlike,2000,42,666,2,279700.0,310100.0,0.9019671073847146,-0.0304
core:17,core,roadlike,2000,42,666,3,279400.0,297600.0,0.9388440860215054,-0.0182
core:17,core,roadlike,2000,42,666,4,286500.0,288000.0,0.9947916666666666,-0.0015
core:17,core,roadlike,2000,42,666,5,271100.0,285000.0,0.9512280701754386,-0.0139
core:17,core,roadlike,2000,42,666,6,291500.0,382500.0,0.7620915032679738,-0.091
core:17,core,roadlike,2000,42,666,7,286500.0,286300.0,1.0006985679357316,0.0002
core:17,core,roadlike,2000,42,666,8,364500.0,364600.0,0.9997257268239166,-0.0001
core:17,core,roadlike,2000,42,666,9,279200.0,296700.0,0.9410178631614425,-0.0175
core:17,core,roadlike,2000,42,666,10,278800.0,282400.0,0.9872521246458924,-0.0036
core:17,core,roadlike,2000,42,666,11,275500.0,274700.0,1.0029122679286495,0.0008
core:17,core,roadlike,2000,42,1333,0,287400.0,276400.0,1.039797395079595,0.011
core:17,core,roadlike,2000,42,1333,1,431500.0,292300.0,1.4762230585015395,0.1392
core:17,core,roadlike,2000,42,1333,2,278900.0,277500.0,1.005045045045045,0.0014
core:17,core,roadlike,2000,42,1333,3,273600.0,278900.0,0.9809967730369308,-0.0053
core:17,core,roadlike,2000,42,1333,4,260200.0,298600.0,0.8713998660415271,-0.0384
core:17,core,roadlike,2000,42,1333,5,352500.0,288400.0,1.222260748959778,0.0641
core:17,core,roadlike,2000,42,1333,6,283100.0,307400.0,0.9209499024072869,-0.0243
core:17,core,roadlike,2000,42,1333,7,277500.0,275500.0,1.0072595281306715,0.002
core:17,core,roadlike,2000,42,1333,8,357800.0,365100.0,0.9800054779512463,-0.0073
core:17,core,roadlike,2000,42,1333,9,299000.0,324400.0,0.9217016029593095,-0.0254
core:17,core,roadlike,2000,42,1333,10,294400.0,292300.0,1.007184399589463,0.0021
core:17,core,roadlike,2000,42,1333,11,279400.0,674200.0,0.4144170869178285,-0.3948
core:18,core,roadlike,5000,42,1666,0,796400.0,956900.0,0.8322708746995506,-0.1605
core:18,core,roadlike,5000,42,1666,1,851700.0,828100.0,1.0284989735539185,0.0236
core:18,core,roadlike,5000,42,1666,2,1096000.0,903100.0,1.2135976082382904,0.1929
core:18,core,roadlike,5000,42,1666,3,724800.0,835000.0,0.8680239520958084,-0.1102
core:18,core,roadlike,5000,42,1666,4,931000.0,836500.0,1.112970711297071,0.0945
core:18,core,roadlike,5000,42,1666,5,769700.0,1131300.0,0.6803677185538761,-0.3616
core:18,core,roadlike,5000,42,1666,6,868100.0,822000.0,1.0560827250608273,0.0461
core:18,core,roadlike,5000,42,1666,7,804500.0,823100.0,0.9774025027335682,-0.0186
core:18,core,roadlike,5000,42,1666,8,802600.0,1297300.0,0.6186695444384491,-0.4947
core:18,core,roadlike,5000,42,1666,9,831100.0,785300.0,1.0583216605119063,0.0458
core:18,core,roadlike,5000,42,1666,10,772400.0,872400.0,0.8853736817973407,-0.1
core:18,core,roadlike,5000,42,1666,11,776300.0,1230700.0,0.6307792313317624,-0.4544
core:18,core,roadlike,5000,42,3333,0,868600.0,880000.0,0.9870454545454546,-0.0114
core:18,core,roadlike,5000,42,3333,1,930400.0,834100.0,1.1154537825200814,0.0963
core:18,core,roadlike,5000,42,3333,2,863400.0,834600.0,1.03450754852624,0.0288
core:18,core,roadlike,5000,42,3333,3,1860200.0,857000.0,2.1705950991831973,1.0032
core:18,core,roadlike,5000,42,3333,4,803400.0,841800.0,0.9543834640057021,-0.0384
core:18,core,roadlike,5000,42,3333,5,799800.0,916200.0,0.8729535036018337,-0.1164
core:18,core,roadlike,5000,42,3333,6,974200.0,819700.0,1.188483591557887,0.1545
core:18,core,roadlike,5000,42,3333,7,1054400.0,1007800.0,1.046239333201032,0.0466
core:18,core,roadlike,5000,42,3333,8,791500.0,1096500.0,0.7218422252621979,-0.305
core:18,core,roadlike,5000,42,3333,9,776500.0,832900.0,0.9322847880898067,-0.0564
core:18,core,roadlike,5000,42,3333,10,782800.0,804700.0,0.9727848887784267,-0.0219
core:18,core,roadlike,5000,42,3333,11,903400.0,906700.0,0.9963604279254439,-0.0033
core:19,core,sparse,1000,1729,333,0,184900.0,218500.0,0.8462242562929062,-0.0336
core:19,core,sparse,1000,1729,333,1,182900.0,206200.0,0.8870029097963142,-0.0233
core:19,core,sparse,1000,1729,333,2,185600.0,352200.0,0.5269733106189665,-0.1666
core:19,core,sparse,1000,1729,333,3,181300.0,215300.0,0.8420808174640038,-0.034
core:19,core,sparse,1000,1729,333,4,183300.0,345300.0,0.5308427454387489,-0.162
core:19,core,sparse,1000,1729,333,5,190900.0,201500.0,0.9473945409429281,-0.0106
core:19,core,sparse,1000,1729,333,6,184000.0,211500.0,0.8699763593380615,-0.0275
core:19,core,sparse,1000,1729,333,7,220300.0,232700.0,0.9467125053717232,-0.0124
core:19,core,sparse,1000,1729,333,8,185300.0,205900.0,0.8999514327343371,-0.0206
core:19,core,sparse,1000,1729,333,9,186100.0,204000.0,0.9122549019607843,-0.0179
core:19,core,sparse,1000,1729,333,10,227400.0,205600.0,1.1060311284046693,0.0218
core:19,core,sparse,1000,1729,333,11,181900.0,206400.0,0.8812984496124031,-0.0245
core:19,core,sparse,1000,1729,666,0,248400.0,222900.0,1.1144010767160162,0.0255
core:19,core,sparse,1000,1729,666,1,203900.0,218400.0,0.9336080586080586,-0.0145
core:19,core,sparse,1000,1729,666,2,187600.0,203100.0,0.9236829148202855,-0.0155
core:19,core,sparse,1000,1729,666,3,177900.0,196200.0,0.9067278287461774,-0.0183
core:19,core,sparse,1000,1729,666,4,200900.0,217900.0,0.9219825608077099,-0.017
core:19,core,sparse,1000,1729,666,5,210300.0,207700.0,1.012518054886856,0.0026
core:19,core,sparse,1000,1729,666,6,180900.0,236600.0,0.76458157227388,-0.0557
core:19,core,sparse,1000,1729,666,7,180300.0,206200.0,0.8743937924345296,-0.0259
core:19,core,sparse,1000,1729,666,8,235600.0,185300.0,1.2714516999460335,0.0503
core:19,core,sparse,1000,1729,666,9,211600.0,213000.0,0.9934272300469483,-0.0014
core:19,core,sparse,1000,1729,666,10,222400.0,212600.0,1.046095954844779,0.0098
core:19,core,sparse,1000,1729,666,11,192300.0,207200.0,0.928088803088803,-0.0149
core:2,core,sparse,2000,42,666,0,521100.0,459600.0,1.1338120104438643,0.0615
core:2,core,sparse,2000,42,666,1,402500.0,447700.0,0.8990395354031717,-0.0452
core:2,core,sparse,2000,42,666,2,409000.0,520800.0,0.7853302611367128,-0.1118
core:2,core,sparse,2000,42,666,3,499200.0,500700.0,0.9970041941282205,-0.0015
core:2,core,sparse,2000,42,666,4,451300.0,529600.0,0.8521525679758308,-0.0783
core:2,core,sparse,2000,42,666,5,440600.0,512300.0,0.8600429435877416,-0.0717
