key,panel,family,n,seed,source,arm,median_margin_ms,margin_q25_ms,margin_q75_ms,median_ratio,positive_rounds,rounds
layout:15,layout,rcm,5000,1729,3010,caliber,0.12735,0.049699999999999994,0.24029999999999999,1.1271369655974843,6,8
layout:16,layout,weight,100000,1729,33333,caliber,4.307650000000001,3.337075,5.07455,1.0975645187657754,8,8
layout:16,layout,weight,100000,1729,66666,caliber,2.30595,1.852925,4.81935,1.0516890702136275,8,8
layout:17,layout,destination,100000,1729,33333,caliber,3.7897,2.3167999999999997,5.38235,1.0842616893012686,7,8
layout:17,layout,destination,100000,1729,66666,caliber,2.68685,1.5573000000000001,3.3693999999999997,1.0573927794002298,6,8
layout:18,layout,random,100000,1729,33333,caliber,4.6012,2.6291,6.75695,1.104086645713665,8,8
layout:18,layout,random,100000,1729,66666,caliber,1.4609,1.252,2.751825,1.0333220638161906,8,8
layout:19,layout,bfs,100000,1729,30541,caliber,2.72645,0.779775,5.5421249999999995,1.0618818662779383,8,8
layout:19,layout,bfs,100000,1729,97704,caliber,3.0843,2.3095499999999998,6.156675,1.0686259671060598,8,8
layout:2,layout,destination,5000,42,1666,caliber,0.13275,0.104225,0.13795,1.1335036907114264,7,8
layout:2,layout,destination,5000,42,3333,caliber,0.09104999999999999,0.074475,0.123075,1.0960399690126363,8,8
layout:20,layout,rcm,100000,1729,2295,caliber,3.47415,2.343225,4.4226,1.0752130765251344,8,8
layout:20,layout,rcm,100000,1729,69458,caliber,3.92895,2.317625,5.3845,1.0863301026923948,6,8
layout:21,layout,weight,5000,2026,1666,caliber,0.11775,0.095475,0.1239,1.1233222090805044,8,8
layout:21,layout,weight,5000,2026,3333,caliber,0.11574999999999999,0.083675,0.13999999999999999,1.1185466682729461,8,8
layout:22,layout,destination,5000,2026,1666,caliber,0.10675000000000001,-0.047924999999999995,0.195375,1.1073721500758205,5,8
layout:22,layout,destination,5000,2026,3333,caliber,0.0765,0.0034000000000000002,0.1341,1.0737641106446367,6,8
layout:23,layout,random,5000,2026,1666,caliber,0.10569999999999999,-0.002874999999999999,0.16715000000000002,1.1060681339779173,6,8
layout:23,layout,random,5000,2026,3333,caliber,0.1472,0.11865,0.21455,1.1393528949922778,8,8
layout:24,layout,bfs,5000,2026,289,caliber,0.1294,0.10477500000000001,0.15725,1.1388383370071198,7,8
layout:24,layout,bfs,5000,2026,4813,caliber,0.1115,0.08555,0.120975,1.1196463672707253,8,8
layout:25,layout,rcm,5000,2026,186,caliber,0.12384999999999999,0.08135,0.15475,1.1280893167196733,7,8
layout:25,layout,rcm,5000,2026,4710,caliber,0.0912,0.0671,0.10905,1.0923905151361186,7,8
layout:26,layout,weight,100000,2026,33333,caliber,3.8989000000000003,3.1548249999999998,6.011225,1.093248739661684,8,8
layout:26,layout,weight,100000,2026,66666,caliber,3.7645,2.357475,4.669125,1.089416413589478,8,8
layout:27,layout,destination,100000,2026,33333,caliber,4.48155,2.904125,5.228675,1.0984495693333214,8,8
