family,seed,source,rate,arm,null_seed,admitted,potential_work,pushes,pops,comparisons,scouts,scout_scans,scout_yield,field_ns
sparse,42,333,0.25,vertex_permutation,10,1142,5324,1557,1557,26758,207,974,450,31715000
sparse,42,666,0.25,vertex_permutation,10,1142,5324,1536,1536,26321,209,985,447,31715000
sparse,42,333,0.25,weight_permutation,10,1142,6473,1542,1542,26391,211,1183,501,31715000
sparse,42,666,0.25,weight_permutation,10,1142,6473,1520,1520,25948,204,1159,517,31715000
sparse,42,333,0.5,vertex_permutation,10,2285,10703,1613,1613,28048,375,1707,697,31715000
sparse,42,666,0.5,vertex_permutation,10,2285,10703,1552,1552,26893,359,1646,673,31715000
sparse,42,333,0.5,weight_permutation,10,2285,12597,1663,1663,29161,367,2002,794,31715000
sparse,42,666,0.5,weight_permutation,10,2285,12597,1618,1618,28155,367,2016,761,31715000
sparse,42,333,0.05,vertex_permutation,11,228,960,1425,1425,23789,57,285,125,31715000
sparse,42,666,0.05,vertex_permutation,11,228,960,1401,1401,23216,51,221,94,31715000
sparse,42,333,0.05,weight_permutation,11,228,1236,1431,1431,23914,51,256,119,31715000
sparse,42,666,0.05,weight_permutation,11,228,1236,1430,1430,23875,52,275,127,31715000
sparse,42,333,0.1,vertex_permutation,11,457,1996,1437,1437,24170,98,473,208,31715000
sparse,42,666,0.1,vertex_permutation,11,457,1996,1427,1427,23860,92,401,191,31715000
sparse,42,333,0.1,weight_permutation,11,457,2584,1451,1451,24401,95,524,233,31715000
sparse,42,666,0.1,weight_permutation,11,457,2584,1489,1489,25349,105,590,256,31715000
sparse,42,333,0.25,vertex_permutation,11,1142,5155,1495,1495,25564,203,950,383,31715000
sparse,42,666,0.25,vertex_permutation,11,1142,5155,1503,1503,25667,197,892,413,31715000
sparse,42,333,0.25,weight_permutation,11,1142,6370,1554,1554,26765,213,1175,502,31715000
sparse,42,666,0.25,weight_permutation,11,1142,6370,1550,1550,26698,211,1168,510,31715000
sparse,42,333,0.5,vertex_permutation,11,2285,10520,1598,1598,27824,365,1763,660,31715000
sparse,42,666,0.5,vertex_permutation,11,2285,10520,1639,1639,28657,375,1706,754,31715000
sparse,42,333,0.5,weight_permutation,11,2285,12600,1626,1626,28366,351,1909,788,31715000
sparse,42,666,0.5,weight_permutation,11,2285,12600,1599,1599,27799,332,1887,774,31715000
sparse,42,333,0.05,vertex_permutation,12,228,1066,1428,1428,23802,62,271,137,31715000
sparse,42,666,0.05,vertex_permutation,12,228,1066,1423,1423,23691,64,284,141,31715000
sparse,42,333,0.05,weight_permutation,12,228,1236,1422,1422,23586,51,272,124,31715000
sparse,42,666,0.05,weight_permutation,12,228,1236,1426,1426,23747,52,276,123,31715000
sparse,42,333,0.1,vertex_permutation,12,457,2087,1451,1451,24403,116,522,252,31715000
sparse,42,666,0.1,vertex_permutation,12,457,2087,1456,1456,24573,114,495,226,31715000
sparse,42,333,0.1,weight_permutation,12,457,2474,1467,1467,24632,105,565,243,31715000
sparse,42,666,0.1,weight_permutation,12,457,2474,1443,1443,24269,90,494,232,31715000
sparse,42,333,0.25,vertex_permutation,12,1142,5220,1544,1544,26538,233,1056,514,31715000
sparse,42,666,0.25,vertex_permutation,12,1142,5220,1501,1501,25652,224,1005,413,31715000
sparse,42,333,0.25,weight_permutation,12,1142,6225,1564,1564,26863,220,1194,487,31715000
sparse,42,666,0.25,weight_permutation,12,1142,6225,1513,1513,25845,185,1033,462,31715000
sparse,42,333,0.5,vertex_permutation,12,2285,10531,1617,1617,28228,379,1709,779,31715000
sparse,42,666,0.5,vertex_permutation,12,2285,10531,1568,1568,27180,384,1683,682,31715000
sparse,42,333,0.5,weight_permutation,12,2285,12252,1606,1606,27890,357,1910,774,31715000
sparse,42,666,0.5,weight_permutation,12,2285,12252,1612,1612,28047,356,1924,764,31715000
sparse,42,333,0.05,vertex_permutation,13,228,961,1430,1430,23791,59,237,106,31715000
sparse,42,666,0.05,vertex_permutation,13,228,961,1433,1433,23893,60,242,103,31715000
sparse,42,333,0.05,weight_permutation,13,228,1280,1426,1426,23738,51,285,114,31715000
sparse,42,666,0.05,weight_permutation,13,228,1280,1424,1424,23733,48,257,124,31715000
sparse,42,333,0.1,vertex_permutation,13,457,2023,1462,1462,24622,96,453,182,31715000
sparse,42,666,0.1,vertex_permutation,13,457,2023,1454,1454,24479,100,457,182,31715000
sparse,42,333,0.1,weight_permutation,13,457,2612,1471,1471,24810,96,555,235,31715000
sparse,42,666,0.1,weight_permutation,13,457,2612,1450,1450,24328,93,529,237,31715000
sparse,42,333,0.25,vertex_permutation,13,1142,5290,1522,1522,26117,217,997,413,31715000
sparse,42,666,0.25,vertex_permutation,13,1142,5290,1513,1513,25843,218,1029,409,31715000
sparse,42,333,0.25,weight_permutation,13,1142,6424,1561,1561,26922,200,1139,486,31715000
sparse,42,666,0.25,weight_permutation,13,1142,6424,1560,1560,26811,215,1212,482,31715000
sparse,42,333,0.5,vertex_permutation,13,2285,10536,1586,1586,27479,385,1705,660,31715000
sparse,42,666,0.5,vertex_permutation,13,2285,10536,1585,1585,27480,381,1781,679,31715000
sparse,42,333,0.5,weight_permutation,13,2285,12521,1642,1642,28686,343,1871,791,31715000
sparse,42,666,0.5,weight_permutation,13,2285,12521,1642,1642,28739,365,1988,765,31715000
sparse,42,333,0.05,vertex_permutation,14,228,1115,1434,1434,23859,54,248,124,31715000
sparse,42,666,0.05,vertex_permutation,14,228,1115,1416,1416,23503,55,266,109,31715000
sparse,42,333,0.05,weight_permutation,14,228,1281,1433,1433,23903,49,286,115,31715000
sparse,42,666,0.05,weight_permutation,14,228,1281,1431,1431,23961,54,316,143,31715000
sparse,42,333,0.1,vertex_permutation,14,457,2166,1460,1460,24507,99,453,214,31715000
sparse,42,666,0.1,vertex_permutation,14,457,2166,1477,1477,24858,107,507,215,31715000
sparse,42,333,0.1,weight_permutation,14,457,2655,1516,1516,25739,100,576,260,31715000
sparse,42,666,0.1,weight_permutation,14,457,2655,1459,1459,24594,92,531,250,31715000
sparse,42,333,0.25,vertex_permutation,14,1142,5397,1540,1540,26308,218,1041,442,31715000
sparse,42,666,0.25,vertex_permutation,14,1142,5397,1538,1538,26399,218,1003,430,31715000
sparse,42,333,0.25,weight_permutation,14,1142,6477,1592,1592,27473,212,1190,478,31715000
sparse,42,666,0.25,weight_permutation,14,1142,6477,1541,1541,26506,213,1169,482,31715000
sparse,42,333,0.5,vertex_permutation,14,2285,10495,1603,1603,27716,363,1655,712,31715000
sparse,42,666,0.5,vertex_permutation,14,2285,10495,1578,1578,27349,361,1574,666,31715000
sparse,42,333,0.5,weight_permutation,14,2285,12693,1659,1659,28942,350,1897,798,31715000
sparse,42,666,0.5,weight_permutation,14,2285,12693,1612,1612,28074,366,2001,760,31715000
sparse,42,333,0.05,vertex_permutation,15,228,996,1420,1420,23663,59,274,136,31715000
sparse,42,666,0.05,vertex_permutation,15,228,996,1409,1409,23371,53,227,89,31715000
sparse,42,333,0.05,weight_permutation,15,228,1313,1429,1429,23809,44,237,96,31715000
sparse,42,666,0.05,weight_permutation,15,228,1313,1418,1418,23657,47,260,110,31715000
sparse,42,333,0.1,vertex_permutation,15,457,2065,1443,1443,24171,92,446,196,31715000
sparse,42,666,0.1,vertex_permutation,15,457,2065,1415,1415,23550,101,419,167,31715000
sparse,42,333,0.1,weight_permutation,15,457,2689,1467,1467,24634,87,501,197,31715000
sparse,42,666,0.1,weight_permutation,15,457,2689,1481,1481,25055,94,562,245,31715000
sparse,42,333,0.25,vertex_permutation,15,1142,5351,1527,1527,26281,209,972,444,31715000
sparse,42,666,0.25,vertex_permutation,15,1142,5351,1496,1496,25521,220,1005,416,31715000
sparse,42,333,0.25,weight_permutation,15,1142,6411,1509,1509,25678,197,1093,426,31715000
sparse,42,666,0.25,weight_permutation,15,1142,6411,1539,1539,26437,192,1096,476,31715000
sparse,42,333,0.5,vertex_permutation,15,2285,10589,1599,1599,27821,364,1709,733,31715000
sparse,42,666,0.5,vertex_permutation,15,2285,10589,1582,1582,27517,378,1731,677,31715000
sparse,42,333,0.5,weight_permutation,15,2285,12537,1647,1647,28808,352,1937,794,31715000
sparse,42,666,0.5,weight_permutation,15,2285,12537,1604,1604,27860,345,1868,757,31715000
sparse,42,333,0.05,vertex_permutation,16,228,1068,1432,1432,24025,49,235,136,31715000
sparse,42,666,0.05,vertex_permutation,16,228,1068,1407,1407,23470,51,233,109,31715000
sparse,42,333,0.05,weight_permutation,16,228,1368,1428,1428,23754,53,314,130,31715000
sparse,42,666,0.05,weight_permutation,16,228,1368,1427,1427,23735,53,312,167,31715000
sparse,42,333,0.1,vertex_permutation,16,457,2121,1453,1453,24516,91,428,217,31715000
sparse,42,666,0.1,vertex_permutation,16,457,2121,1438,1438,24156,90,412,179,31715000
sparse,42,333,0.1,weight_permutation,16,457,2676,1478,1478,25056,102,620,258,31715000
sparse,42,666,0.1,weight_permutation,16,457,2676,1478,1478,25047,89,543,289,31715000
sparse,42,333,0.25,vertex_permutation,16,1142,5396,1500,1500,25582,208,954,425,31715000
sparse,42,666,0.25,vertex_permutation,16,1142,5396,1589,1589,27547,249,1120,524,31715000
sparse,42,333,0.25,weight_permutation,16,1142,6647,1535,1535,26395,205,1217,492,31715000
